#,R1,CR1,R2,CR2,R3,CR3,P1,CP1,P2,CP2,P3,CP3,P4,CP4,,,,,,,,,,,
2,e,-1,e,-1,H2O,0,H2,0,OH,-1,OH,-1,,,,,,,,,,,,,
3,e,-1,H,0,H2O,0,H2,0,OH,-1,,,,,,,,,,,,,,,
4,e,-1,OH,0,,,OH,-1,,,,,,,,,,,,,,,,,
5,e,-1,H2O2,0,,,OH,0,OH,-1,,,,,,,,,,,,,,,
6,e,-1,O2,0,,,O2,-1,,,,,,,,,,,,,,,,,
7,e,-1,O2,-1,H2O,0,H2O2,0,OH,-1,OH,-1,,,,,,,,,,,,,
8,e,-1,HO2,0,,,HO2,-1,,,,,,,,,,,,,,,,,
9,H,0,H,0,,,H2,0,,,,,,,,,,,,,,,,,
10,H,0,OH,0,,,H2O,0,,,,,,,,,,,,,,,,,
11,H,0,H2O2,0,,,OH,0,H2O,0,,,,,,,,,,,,,,,
12,H,0,O2,0,,,HO2,0,,,,,,,,,,,,,,,,,
13,H,0,HO2,0,,,H2O2,0,,,,,,,,,,,,,,,,,
14,H,0,O2,-1,,,HO2,0,,,,,,,,,,,,,,,,,
15,OH,0,OH,0,,,H2O2,0,,,,,,,,,,,,,,,,,
16,OH,0,H2,0,,,H,0,H2O,0,,,,,,,,,,,,,,,
17,OH,0,H2O2,0,,,HO2,0,H2O,0,,,,,,,,,,,,,,,
18,OH,0,HO2,0,,,O2,0,H2O,0,,,,,,,,,,,,,,,
19,OH,0,O2,-1,,,O2,0,OH,-1,,,,,,,,,,,,,,,
20,HO2,0,HO2,0,,,H2O2,0,O2,0,,,,,,,,,,,,,,,
21,HO2,0,O2,-1,H2O,0,H2O2,0,O2,0,OH,-1,,,,,,,,,,,,,
22,O2,-1,O2,-1,H2O,0,H2O2,0,O2,0,OH,-1,OH,-1,,,,,,,,,,,
23,H2O,0,,,,,H,1,OH,-1,,,,,,,,,,,,,,,
24,H,1,OH,-1,,,H2O,0,,,,,,,,,,,,,,,,,
25,H2O2,0,,,,,H,1,HO2,-1,,,,,,,,,,,,,,,
26,H,1,HO2,-1,,,H2O2,0,,,,,,,,,,,,,,,,,
27,H2O2,0,OH,-1,,,HO2,-1,H2O,0,,,,,,,,,,,,,,,
28,HO2,-1,H2O,0,,,H2O2,0,OH,-1,,,,,,,,,,,,,,,
29,H,0,,,,,H,1,e,-1,,,,,,,,,,,,,,,
30,H,1,e,-1,,,H,0,,,,,,,,,,,,,,,,,
31,e,-1,H2O,0,,,H,0,OH,-1,,,,,,,,,,,,,,,
32,H,0,OH,-1,,,e,-1,H2O,0,,,,,,,,,,,,,,,
33,OH,0,,,,,H,1,O,-1,,,,,,,,,,,,,,,
34,H,1,O,-1,,,OH,0,,,,,,,,,,,,,,,,,
35,OH,0,OH,-1,,,O,-1,H2O,0,,,,,,,,,,,,,,,
36,O,-1,H2O,0,,,OH,0,OH,-1,,,,,,,,,,,,,,,
37,HO2,0,,,,,H,1,O2,-1,,,,,,,,,,,,,,,
38,H,1,O2,-1,,,HO2,0,,,,,,,,,,,,,,,,,
39,HO2,0,OH,-1,,,O2,-1,H2O,0,,,,,,,,,,,,,,,
40,O2,-1,H2O,0,,,HO2,0,OH,-1,,,,,,,,,,,,,,,
41,O,-1,H2,0,,,H,0,OH,-1,,,,,,,,,,,,,,,
42,O,-1,H2O2,0,,,HO2,0,OH,-1,,,,,,,,,,,,,,,
43,OH,0,HO2,-1,,,O2,-1,H2O,1,,,,,,,,,,,,,,,
44,O,-1,OH,0,,,HO2,-1,,,,,,,,,,,,,,,,,
45,e,-1,HO2,-1,,,O,-1,OH,-1,,,,,,,,,,,,,,,
46,e,-1,O,-1,H2O,0,OH,-1,OH,-1,,,,,,,,,,,,,,,
47,O,-1,O2,0,,,O3,-1,,,,,,,,,,,,,,,,,
48,O3,-1,,,,,O,-1,O2,0,,,,,,,,,,,,,,,
