,r0,r1,r2,r3,r4,p0,p1,p2,p3,rate
302,[H][H],O[O],[N]=O,,,O,[N],,,48222900338.00168
303,[H][H],O[O],,,,O,,,,386018257809.312
304,[H][H],O[O],[NH2],[O],,O,[H],[NH],,210168121643.93906
305,[H][H],O[O],[N]=O,,,O,[H],[O][N][O],,11009986486.91269
306,[H][H],O[O],[NH2],[N]=O,,O,[H],[N][NH],,1595742010.5541315
307,[H][H],O[O],N=O,[N]=O,,O,[H],[N]O[N],,2660324123.500774
308,[H][H],O[O],N=O,[O],,O,[H],[N]=O,,215058409668.37448
309,[H][H],O[O],[O],,,O,[H],,,2125311404755.5093
310,[H][H],O[O],N,[O],,O,[H],[NH2],,83510653751.71048
311,[H][H],O[O],[N]O[N],,,O,N#N,,,11634824421.787222
312,[H][H],OO,[O],,,O,[H],,,11786042314.705477
313,[H][H],O[O],[O],,,O,[H],O=O,,386018257809.312
314,[H][H],[NH2],O[O],[O],,O,[H],[NH],,210168121643.93912
315,[H][H],N[NH],O[O],[O],,O,[H],[NH][NH],,2141148077.221989
316,[H][H],[N]O[N],[O],,,O,[H],N#N,,11634824421.787222
317,[H][H],N[NH],O[O],[O],,O,[H],N,N=O,2141148077.221989
318,[H][H],O[O],[O],,,O,[H],,,5041119079433.469
319,[H][H],[O],O[O],,,O,,,,210168121643.93912
320,[H][H],[NH],O[O],[O],,O,[H],[N],,77308535603.68472
321,[H][H],[NH],O[O],[O],,O,[H],N=O,,10464158141.224154
322,[H][H],NN,O[O],[O],,O,[H],N[NH],,40660215969.05076
323,[H][H],N=O,O[O],[O],,O,[H],[N]=O,,215058409668.37448
324,[H][H],[NH][NH],O[O],[O],,O,[H],[N][NH],,6861680904.248609
325,[H][H],O[O],,,,O,[H],,,210168121643.93912
326,[H][H],N,O[O],[O],,O,[H],[NH2],,210168121643.93912
327,[H][H],[N]=O,O[O],,,O,[H],N=O,,884751989964.6476
328,[H][H],O[O],,,,O,,,,6646509767464.003
329,[H][H],O[O],,,,O,[H],OO,,6646509767464.003
330,[H][H],[N]O[N],[O],,,O,[H],N#N,,200329835694.81314
331,[H],[H][H],O[O],[O],,O,O=O,,,16093397296.452349
332,[H],[H][H],O[O],[NH],[O],O,[N],,,3223052155.4543333
333,[H],[H][H],O[O],[N]=O,,O,[N],,,2010449708.5991611
334,[H],[H][H],O[O],,,O,,,,16093397296.452349
335,[H],[H][H],O[O],[NH2],[O],O,[NH],,,8762070218.8026
336,[H],[H][H],O[O],N=O,[O],O,[N]=O,,,8965950078.055786
337,[H][H],O[O],[O],,,O,,,,88605862866.4858
338,[H],[H][H],O[O],N,[O],O,[NH2],,,3481623218.911706
339,[H],[H][H],O[O],[O],,O,O=O,,,16093397296.452349
340,[H],[H][H],[NH2],O[O],[O],O,[NH],,,8762070218.802603
341,[H][H],[O],O[O],,,O,,,,210168121643.93912
342,[H],[H][H],O[O],[O],,O,,,,8762070218.802603
343,[H],[H][H],[NH],O[O],[O],O,[N],,,3223052155.4543343
344,[H],[H][H],NN,O[O],[O],O,N[NH],,,1695155595.6525145
345,[H],[H][H],N=O,O[O],[O],O,[N]=O,,,8965950078.055786
346,[H],[H][H],O[O],,,O,,,,8762070218.802603
347,[H],[H][H],N,O[O],[O],O,[NH2],,,8762070218.802603
348,[H],[H][H],[N]=O,O[O],,O,N=O,,,36885989186.45348
349,[H],O[O],,,,O,,,,277098090980.42346
350,[H],[H][H],O[O],,,O,OO,,,277098090980.42346
351,[H],[H][H],[N]O[N],[O],,O,N#N,,,8351904530.283272
352,[NH],[H][H],O[O],[O],,[N],O,O=O,,5919817754.211296
353,[NH],[H][H],O[O],[O],,[N],O,,,1185572009.510605
354,[NH],[H][H],O[O],[H],,[N],O,,,5919817754.211296
355,[H][H],O[O],[NH2],[O],,[N],O,,,3223052155.4543343
356,[NH],[H][H],O[O],N=O,[O],[N],O,[N]=O,,3298047607.831512
357,[NH],[H][H],O[O],[O],,[N],O,[H],,32592904435.40236
358,[NH],[H][H],O[O],N,[O],[N],O,[NH2],,1280685150.8805554
359,[NH],[H][H],O[O],[O],,[N],O,O=O,,5919817754.211296
360,[H][H],[NH2],O[O],[O],,[N],O,,,3223052155.4543347
361,[NH],[H][H],O[O],[O],,[N],O,[H],,77308535603.68474
362,[NH],[H][H],O[O],[H],[O],[N],O,,,3223052155.4543347
363,[NH],[H][H],O[O],[O],,[N],O,,,1185572009.5106053
364,[NH],[H][H],N=O,O[O],[O],[N],O,[N]=O,,3298047607.831512
365,[NH],[H][H],O[O],,,[N],O,,,3223052155.4543347
366,[NH],[H][H],N,O[O],[O],[N],O,[NH2],,3223052155.4543347
367,[NH],[H][H],[N]=O,O[O],,[N],O,N=O,,13568193815.469183
368,[NH],O[O],[H],,,[N],O,,,101928149068.03882
369,[NH],[H][H],O[O],,,[N],O,OO,,101928149068.03882
370,[NH],[H][H],[N]O[N],[O],,[N],O,N#N,,3072176235.327744
371,[NH],[H][H],O[O],[O],,[H],N=O,O,,4411638425.57122
372,[NH],[H][H],O[O],[O],,[H],N=O,O,,10464158141.224154
373,[NH],[H][H],[N]=O,O[O],,[H],N=O,,,1836533633.2807465
374,[NH],O[O],,,,N=O,,,,13796565444.700918
375,[NH],[H][H],O[O],,,[H],N=O,OO,,13796565444.700918
376,N=O,[H][H],O[O],[O],,[N]=O,O,O=O,,16467865828.862104
377,N=O,[H][H],O[O],[NH],[O],[N]=O,O,[N],,3298047607.8315115
378,N=O,[H][H],O[O],[H],,O,[N],,,2057229772.3728127
379,N=O,[H][H],O[O],[H],,[N]=O,O,,,16467865828.862104
380,N=O,[H][H],O[O],[O],[NH2],[N]=O,O,[NH],,8965950078.055782
381,N=O,[H][H],O[O],[O],,[N]=O,O,,,9174573907.166672
382,N=O,[H][H],O[O],[O],,[N]=O,O,[H],,90667584628.47992
383,N=O,[H][H],O[O],N,[O],[N]=O,O,[NH2],,3562635221.11195
384,N=O,[H][H],O[O],[O],,[N]=O,O,O=O,,16467865828.862104
385,N=O,[H][H],[NH2],[O],O[O],[N]=O,O,[NH],,8965950078.055784
386,N=O,[H][H],O[O],[O],,[N]=O,O,[H],,215058409668.37448
387,N=O,[H][H],[H],O[O],[O],[N]=O,O,,,8965950078.055784
388,N=O,[H][H],[NH],O[O],[O],[N]=O,O,[N],,3298047607.8315115
389,N=O,[H][H],NN,[O],O[O],[N]=O,O,N[NH],,1734599251.7319002
390,N=O,[H][H],[O],O[O],,[N]=O,O,,,9174573907.166672
391,N=O,[H][H],O[O],,,[N]=O,O,,,8965950078.055784
392,N=O,[H][H],N,[O],O[O],[N]=O,O,[NH2],,8965950078.055784
393,[H][H],O[O],,,,O,,,,37744269261.362114
394,N=O,[H],O[O],,,[N]=O,O,,,283545736157.6079
395,N=O,[H][H],O[O],,,[N]=O,O,OO,,283545736157.6079
396,N=O,[H][H],[N]O[N],[O],,[N]=O,O,N#N,,8546240466.609842
397,[NH][NH],[H][H],O[O],[O],,[N][NH],O,[H],,2892851458.5359807
398,[NH][NH],[H][H],O[O],[O],,[N][NH],O,[H],,6861680904.2486105
399,[NH][NH],[H][H],[N]=O,O[O],,[N][NH],O,N=O,,1204273443.828
400,[NH][NH],[H],O[O],,,[N][NH],O,,,9046846232.49069
401,[NH][NH],[H][H],O[O],,,[N][NH],O,OO,,9046846232.49069
402,[O],[H][H],O[O],,,O,O=O,,,16093397296.452349
403,[H][H],O[O],[NH],,,O,[N],,,3223052155.4543333
404,[H][H],O[O],[N]=O,[H],,[O],O,[N],,2010449708.5991611
405,[H][H],O[O],[H],,,[O],O,,,16093397296.452349
406,[H][H],O[O],[NH2],,,O,[NH],,,8762070218.8026
407,[H][H],O[O],N=O,,,O,[N]=O,,,8965950078.055786
408,[H][H],O[O],,,,O,[H],,,88605862866.4858
409,[H][H],O[O],N,,,O,[NH2],,,3481623218.911706
410,[O],[H][H],O[O],,,O,O=O,,,16093397296.452349
411,[H][H],[NH2],O[O],,,O,[NH],,,8762070218.802603
412,[H][H],O[O],,,,O,[H],,,210168121643.93912
413,[H][H],[H],O[O],,,O,,,,8762070218.802603
414,[H][H],[NH],O[O],,,O,[N],,,3223052155.4543343
415,[H][H],NN,O[O],,,O,N[NH],,,1695155595.6525145
416,[H][H],N=O,O[O],,,O,[N]=O,,,8965950078.055786
417,[H][H],O[O],,,,[O],O,,,8762070218.802603
418,[H][H],N,O[O],,,O,[NH2],,,8762070218.802603
419,[H][H],[N]=O,O[O],,,[O],O,N=O,,36885989186.45348
420,O[O],[H],,,,[O],O,,,277098090980.42346
421,[H][H],O[O],,,,[O],O,OO,,277098090980.42346
422,[H][H],[N]O[N],,,,O,N#N,,,8351904530.283272
423,N,[H][H],O[O],[O],,[NH2],O,O=O,,16093397296.452349
424,N,[H][H],O[O],[NH],[O],[NH2],O,[N],,3223052155.4543333
425,N,[H][H],O[O],[H],[N]=O,[NH2],O,[N],,2010449708.5991611
426,N,[H][H],O[O],[H],,[NH2],O,,,16093397296.452349
427,N,[H][H],O[O],[O],,O,[NH],,,8762070218.8026
428,N,[H][H],O[O],N=O,[O],[NH2],O,[N]=O,,8965950078.055786
429,N,[H][H],O[O],[O],,[NH2],O,[H],,88605862866.4858
430,N,[H][H],O[O],[O],,[NH2],O,,,3481623218.911706
431,N,[H][H],O[O],[O],,[NH2],O,O=O,,16093397296.452349
432,N,[H][H],[O],O[O],,O,[NH],,,8762070218.802603
433,N,[H][H],O[O],[O],,[NH2],O,[H],,210168121643.93912
434,N,[H][H],[H],O[O],[O],[NH2],O,,,8762070218.802603
435,N,[H][H],[NH],O[O],[O],[NH2],O,[N],,3223052155.4543343
436,N,[H][H],NN,[O],O[O],[NH2],O,N[NH],,1695155595.6525145
437,N,[H][H],N=O,[O],O[O],[NH2],O,[N]=O,,8965950078.055786
438,N,[H][H],O[O],,,[NH2],O,,,8762070218.802603
439,N,[H][H],[O],O[O],,[NH2],O,,,8762070218.802603
440,N,[H][H],[N]=O,O[O],,[NH2],O,N=O,,36885989186.45348
441,N,[H],O[O],,,[NH2],O,,,277098090980.42346
442,N,[H][H],O[O],,,[NH2],O,OO,,277098090980.42346
443,N,[H][H],[N]O[N],[O],,[NH2],O,N#N,,8351904530.283272
444,[N],O[O],[H][H],,,[N]=O,O,[H],,2551517328.866837
445,[N],[H][H],O[O],,,[N]=O,O,[H],,6052055552.553439
446,[N],O[O],,,,N=O,[O],,,1062178478.4540356
447,[N],O[O],[H],,,[N]=O,[H][H],[O],,7979388248.80958
448,[N],O[O],,,,[N]=O,OO,[O],,7979388248.80958
449,[NH2],O[O],[O],[H][H],,O,[N]=O,[H],,1358823189.0921214
450,[NH2],[H][H],O[O],[O],,O,[N]=O,[H],,3223052155.4543347
451,[NH2],[H],O[O],,,O,[N]=O,[H][H],,4249462727.367391
452,[NH2],O[O],,,,O,[N]=O,OO,,4249462727.367391
453,[H][H],[NH],O[O],[O],,O,[H],O=O,[N]=O,5919817754.211296
454,[H][H],[NH],O[O],[O],,O,[H],[N]=O,[N],1185572009.510605
455,[H][H],[NH],O[O],,,O,[N]=O,,,5919817754.211296
456,[H][H],O[O],[NH2],[O],,O,[H],[N]=O,,3223052155.4543343
457,[H][H],[NH],O[O],N=O,[O],O,[H],[N]=O,,3298047607.831512
458,[H][H],[NH],O[O],[O],,O,[H],[N]=O,,32592904435.40236
459,[H][H],[NH],O[O],N,[O],O,[H],[N]=O,[NH2],1280685150.8805554
460,[H][H],[NH],O[O],[O],,O,[H],O=O,[N]=O,5919817754.211296
461,[H][H],[NH2],O[O],[O],,O,[H],[N]=O,,3223052155.4543347
462,[H][H],[NH],O[O],[O],,O,[H],[N]=O,,77308535603.68474
463,[H][H],[NH],[O],O[O],,O,[N]=O,,,3223052155.4543347
464,[H][H],[NH],O[O],[O],,O,[H],[N]=O,[N],1185572009.5106053
465,[H][H],[NH],N=O,O[O],[O],O,[H],[N]=O,,3298047607.831512
466,[H][H],[NH],O[O],,,O,[H],[N]=O,,3223052155.4543347
467,[H][H],[NH],N,O[O],[O],O,[H],[N]=O,[NH2],3223052155.4543347
468,[H][H],[NH],O[O],,,O,[H],N=O,,13568193815.469183
469,[NH],O[O],,,,O,[N]=O,,,101928149068.03882
470,[H][H],[NH],O[O],,,O,[H],[N]=O,OO,101928149068.03882
471,[H][H],[NH],[N]O[N],[O],,O,[H],[N]=O,N#N,3072176235.327744
472,[NH],O[O],[O],[H][H],,O,[N]=O,,,1358823189.0921214
473,[NH],[H][H],[O],O[O],,O,[N]=O,,,3223052155.4543347
474,[H],[NH],O[O],,,O,[N]=O,[H][H],,4249462727.367391
475,[H],[NH],O[O],,,O,[N]=O,OO,,4249462727.367391
476,[NH],[H][H],O[O],[O],,[N],O,[N]=O,[H],1185572009.5106053
477,[NH],O[O],[H],,,[N],O,[N]=O,[H][H],1563128308.829738
478,[NH],O[O],,,,[N],O,[N]=O,OO,1563128308.829738
479,N=O,[NH],O[O],[O],[H][H],[N]=O,O,[H],,1390440908.834605
480,N=O,[NH],[H][H],O[O],[O],[N]=O,O,[H],,3298047607.831512
481,N=O,[NH],[H],O[O],,[N]=O,O,[H][H],,4348341170.603116
482,N=O,[NH],O[O],,,[N]=O,O,OO,,4348341170.603116
483,[NH],O[O],[H][H],,,O,[N]=O,[H],,1358823189.0921214
484,[NH],[H][H],O[O],,,O,[N]=O,[H],,3223052155.4543347
485,[NH],O[O],[H],,,[O],O,[N]=O,[H][H],4249462727.367391
486,[NH],O[O],,,,[O],O,[N]=O,OO,4249462727.367391
487,N,[NH],O[O],[O],[H][H],[NH2],O,[N]=O,[H],1358823189.0921214
488,N,[NH],[H][H],O[O],[O],[NH2],O,[N]=O,[H],3223052155.4543347
489,N,[NH],[H],O[O],,[NH2],O,[N]=O,[H][H],4249462727.367391
490,N,[NH],O[O],,,[NH2],O,[N]=O,OO,4249462727.367391
491,[NH2],O[O],[O],[H][H],,[NH],O,N=O,[H],3152951528.8101597
492,[NH2],[H][H],O[O],[O],,[NH],O,N=O,[H],7478623637.387515
493,[NH2],[N]=O,O[O],,,[NH],O,N=O,,1312551249.2592928
494,[NH2],[H],O[O],,,[NH],O,N=O,[H][H],9860260047.391983
495,[NH2],O[O],,,,[NH],O,N=O,OO,9860260047.391983
496,[H][H],[NH2],O[O],[O],,O,[H],O=O,N=O,13736075884.080784
497,[H][H],[NH2],O[O],[NH],[O],O,[H],N=O,[N],2750947371.1576276
498,[H][H],[NH2],O[O],[N]=O,,O,N=O,[N],,1715963960.2344139
499,[H][H],[NH2],O[O],,,O,N=O,,,13736075884.080784
500,[H][H],[NH2],O[O],[O],,O,[H],N=O,[NH],7478623637.387513
501,[H][H],[NH2],O[O],[O],,O,[H],[N]=O,,7652639674.296936
502,[H][H],[NH2],O[O],[O],,O,[H],N=O,,75627093129.47882
503,[H][H],O[O],N,[O],,O,[H],N=O,,2971643578.655151
504,[H][H],[NH2],O[O],[O],,O,[H],O=O,N=O,13736075884.080784
505,[H][H],[NH2],O[O],[O],,O,[H],N=O,[NH],7478623637.387515
506,[H][H],[NH2],O[O],[O],,O,[H],N=O,,179383210029.38626
507,[H][H],[NH2],[O],O[O],,O,N=O,,,7478623637.387515
508,[H][H],[NH2],[NH],O[O],[O],O,[H],N=O,[N],2750947371.157628
509,[H][H],[NH2],NN,O[O],[O],O,[H],N=O,N[NH],1446853356.5836983
