,r0,r1,r2,r3,r4,p0,p1,p2,p3,rate
601,O[O],[H][H],,,,O,[H],,,16133065875.781097
602,[O],O[O],,,,O=O,O,,,2930233173.6220536
603,[NH2],O[O],,,,[NH],O,,,1595369103.9741526
604,[H][H],O[O],,,,O,[H],,,38266724591.12549
605,[H],O[O],,,,O,,,,1595369103.9741526
606,N=O,O[O],,,,[N]=O,O,,,1632490882.3042486
607,O[O],,,,,[O],O,,,1595369103.9741526
608,N,O[O],,,,[NH2],O,,,1595369103.9741526
609,[N]=O,O[O],,,,[O],N=O,,,6716080338.104663
610,O[O],[H],,,,[O],[H][H],,,50453114627.150154
611,O[O],,,,,[O],OO,,,50453114627.150154
612,[N]O[N],,,,,N#N,,,,1520687476.1586373
